f1_calm,precision_calm,recall_calm,f1_elevated,precision_elevated,recall_elevated,f1_stress,precision_stress,recall_stress,f1_macro_avg,precision_macro_avg,recall_macro_avg,f1_weighted_avg,precision_weighted_avg,recall_weighted_avg,accuracy,seed,fold,mode,model,f1_not_stress,precision_not_stress,recall_not_stress
,,,,,,0.6632,0.594,0.7507,0.7399,0.7329,0.7592,0.7688,0.7853,0.7624,0.7624,100,1,binary,lr,0.8165,0.8719,0.7678
,,,,,,0.8205,0.7805,0.8648,0.8664,0.8581,0.8774,0.8837,0.8873,0.8821,0.8821,100,1,binary,rf,0.9122,0.9357,0.8899
,,,,,,0.7919,0.7192,0.8811,0.8408,0.8296,0.8627,0.8592,0.8713,0.8558,0.8558,100,1,binary,xgb,0.8896,0.9401,0.8443
,,,,,,0.6578,0.5283,0.8714,0.7086,0.7229,0.7596,0.7278,0.7963,0.7175,0.7175,100,1,binary,lstm,0.7595,0.9176,0.6479
,,,,,,0.1447,0.3094,0.0945,0.4632,0.4988,0.4995,0.5832,0.5702,0.6522,0.6522,100,1,binary,cnn_gaf,0.7817,0.6882,0.9046
0.9162,0.966,0.8714,0.1146,0.0811,0.1955,0.7877,0.671,0.9535,0.6062,0.5727,0.6735,0.8788,0.9095,0.8588,0.8588,100,2,multiclass,lr,,,
0.8954,0.9764,0.8269,0.1941,0.1181,0.5446,0.8603,0.7817,0.9566,0.6499,0.6254,0.776,0.8704,0.9307,0.8311,0.8311,100,2,multiclass,rf,,,
0.9019,0.9898,0.8284,0.2742,0.1639,0.8381,0.8976,0.837,0.9675,0.6912,0.6636,0.878,0.8822,0.9493,0.8425,0.8425,100,2,multiclass,xgb,,,
0.9222,0.9257,0.9187,0.0508,0.0641,0.042,0.527,0.4881,0.5727,0.5,0.4926,0.5111,0.8561,0.8558,0.8574,0.8574,100,2,multiclass,lstm,,,
0.512,0.908,0.3565,0.0617,0.0561,0.0686,0.2065,0.1198,0.7484,0.2601,0.3613,0.3912,0.4678,0.8035,0.3866,0.3866,100,2,multiclass,cnn_gaf,,,
,,,,,,0.6402,0.4789,0.9649,0.7884,0.7373,0.9246,0.9072,0.9443,0.8922,0.8922,100,2,binary,lr,0.9366,0.9956,0.8842
,,,,,,0.8643,0.7783,0.9715,0.9236,0.8876,0.9705,0.9711,0.9751,0.9697,0.9697,100,2,binary,rf,0.9829,0.9968,0.9695
,,,,,,0.8982,0.8339,0.9732,0.9429,0.9154,0.9759,0.9788,0.9808,0.9781,0.9781,100,2,binary,xgb,0.9877,0.997,0.9786
,,,,,,0.5271,0.4505,0.6351,0.7314,0.7042,0.7748,0.8951,0.9074,0.8868,0.8868,100,2,binary,lstm,0.9357,0.9578,0.9145
,,,,,,0.2023,0.1137,0.9163,0.2748,0.536,0.5642,0.3328,0.8744,0.282,0.282,100,2,binary,cnn_gaf,0.3472,0.9583,0.212
0.7994,0.6891,0.9518,0.5304,0.9278,0.3713,0.4921,0.3307,0.9614,0.6073,0.6492,0.7615,0.6152,0.7833,0.6282,0.6282,100,3,multiclass,lr,,,
0.97,0.9713,0.9687,0.9658,0.9554,0.9764,0.8856,0.937,0.8395,0.9405,0.9546,0.9282,0.9584,0.9586,0.9588,0.9588,100,3,multiclass,rf,,,
0.9799,0.9891,0.9708,0.9712,0.952,0.9912,0.8891,0.9702,0.8205,0.9467,0.9704,0.9275,0.9651,0.9663,0.9657,0.9657,100,3,multiclass,xgb,,,
0.2005,0.2216,0.1831,0.5897,0.562,0.6202,0.5402,0.5414,0.5389,0.4435,0.4417,0.4474,0.4554,0.4471,0.4666,0.4666,100,3,multiclass,lstm,,,
0.1913,0.2057,0.1787,0.5432,0.6288,0.4782,0.1426,0.0985,0.2579,0.2924,0.311,0.3049,0.3828,0.4306,0.3549,0.3549,100,3,multiclass,cnn_gaf,,,
,,,,,,0.4603,0.3008,0.9796,0.6479,0.6487,0.8495,0.7944,0.9202,0.748,0.748,100,3,binary,lr,0.8356,0.9965,0.7194
,,,,,,0.8938,0.8797,0.9084,0.9402,0.9342,0.9466,0.9765,0.9767,0.9763,0.9763,100,3,binary,rf,0.9867,0.9887,0.9847
,,,,,,0.8989,0.9518,0.8516,0.9436,0.9669,0.9231,0.9785,0.9786,0.979,0.979,100,3,binary,xgb,0.9883,0.9819,0.9947
,,,,,,0.4982,0.454,0.5518,0.7144,0.6987,0.735,0.8831,0.8896,0.878,0.878,100,3,binary,lstm,0.9306,0.9433,0.9182
,,,,,,0.1405,0.0992,0.2409,0.4707,0.4928,0.4857,0.7285,0.8001,0.6767,0.6767,100,3,binary,cnn_gaf,0.8009,0.8865,0.7304
0.7744,0.6325,0.9983,0.0244,0.0168,0.0444,0.2834,0.999,0.1651,0.3607,0.5494,0.4026,0.5643,0.7797,0.6444,0.6444,100,4,multiclass,lr,,,
0.9647,0.9511,0.9788,0.7324,0.6897,0.7807,0.9501,0.9714,0.9297,0.8824,0.8707,0.8964,0.9568,0.9574,0.9568,0.9568,100,4,multiclass,rf,,,
0.9703,0.9564,0.9846,0.8386,0.7612,0.9336,0.9588,0.9817,0.937,0.9226,0.8997,0.9518,0.9645,0.9653,0.9645,0.9645,100,4,multiclass,xgb,,,
0.8132,0.7689,0.863,0.0074,0.0073,0.0075,0.7035,0.7758,0.6436,0.508,0.5173,0.5047,0.7611,0.7655,0.7649,0.7649,100,4,multiclass,lstm,,,
0.6337,0.5922,0.6815,0.0285,0.0258,0.0318,0.3883,0.4411,0.3468,0.3502,0.353,0.3534,0.5269,0.5248,0.5372,0.5372,100,4,multiclass,cnn_gaf,,,
,,,,,,0.4724,0.9801,0.3112,0.6368,0.8252,0.6534,0.6646,0.799,0.7113,0.7113,100,4,binary,lr,0.8012,0.6704,0.9955
